"created_date","region","country","state","org","suborg","site_type","site","year","period","employee_hours","contractor_hours","total_hours","updated_date","verified","verified_date","description"
"2025-01-05 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","1",26118.9438,0,26118.9438,"2025-01-24 00:00:00","No",,"SPOT Data load"
"2025-01-12 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","2",31749.1705,0,31749.1705,"2025-03-12 00:00:00","No",,"SPOT Data load"
"2025-01-19 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","3",33550.9705,0,33550.9705,"2025-01-21 00:00:00","No",,"SPOT Data load"
"2025-01-26 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","4",32690.3375,0,32690.3375,"2025-03-20 00:00:00","No",,"SPOT Data load"
"2025-02-02 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","5",31724.6487,0,31724.6487,"2025-02-06 00:00:00","No",,"SPOT Data load"
"2025-02-09 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","6",31678.6822,0,31678.6822,"2025-02-14 00:00:00","No",,"SPOT Data load"
"2025-02-16 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","7",28935.1881,0,28935.1881,"2025-04-16 00:00:00","No",,"SPOT Data load"
"2025-02-23 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","8",32454.9551,0,32454.9551,"2025-03-01 00:00:00","No",,"SPOT Data load"
"2025-03-02 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","9",32200.9711,0,32200.9711,"2025-03-06 00:00:00","No",,"SPOT Data load"
"2025-03-09 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","10",32910.8269,0,32910.8269,"2025-03-13 00:00:00","No",,"SPOT Data load"
"2025-03-16 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","11",31207.6551,0,31207.6551,"2025-03-20 00:00:00","No",,"SPOT Data load"
"2025-03-23 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","12",30130.6718,0,30130.6718,"2025-03-27 00:00:00","No",,"SPOT Data load"
"2025-03-30 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","13",28679.6218,0,28679.6218,"2025-04-05 00:00:00","No",,"SPOT Data load"
"2025-04-06 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","14",30088.9434,0,30088.9434,"2025-04-09 00:00:00","No",,"SPOT Data load"
"2025-04-13 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","15",29538.2747,0,29538.2747,"2025-04-18 00:00:00","No",,"SPOT Data load"
"2025-04-20 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","16",29037.9855,0,29037.9855,"2025-04-28 00:00:00","No",,"SPOT Data load"
"2025-04-27 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","17",30062.8244,0,30062.8244,"2025-05-04 00:00:00","No",,"SPOT Data load"
"2025-05-04 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","18",34009.1359,0,34009.1359,"2025-05-16 00:00:00","No",,"SPOT Data load"
"2025-05-11 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","19",33167.3192,0,33167.3192,"2025-05-15 00:00:00","No",,"SPOT Data load"
"2025-05-18 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","20",33415.9802,0,33415.9802,"2025-05-20 00:00:00","No",,"SPOT Data load"
"2025-05-25 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","21",34130.9189,0,34130.9189,"2025-06-11 00:00:00","No",,"SPOT Data load"
"2025-06-01 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","22",33697.4308,0,33697.4308,"2025-06-25 00:00:00","No",,"SPOT Data load"
"2025-06-08 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","23",34562.9758,0,34562.9758,"2025-07-14 00:00:00","No",,"SPOT Data load"
"2025-06-15 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","24",35368.9524,0,35368.9524,"2025-06-25 00:00:00","No",,"SPOT Data load"
"2025-06-22 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","25",37000.641,0,37000.641,"2025-07-03 00:00:00","No",,"SPOT Data load"
"2025-06-29 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","26",37436.1192,0,37436.1192,"2025-07-25 00:00:00","No",,"SPOT Data load"
"2025-07-06 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","27",32741.1196,0,32741.1196,"2025-07-25 00:00:00","No",,"SPOT Data load"
"2025-07-13 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","28",43521.7304,0,43521.7304,"2025-07-16 00:00:00","No",,"SPOT Data load"
"2025-07-20 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","29",39478.6026,0,39478.6026,"2025-07-22 00:00:00","No",,"SPOT Data load"
"2025-07-27 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","30",31081.6472,0,31081.6472,"2025-07-31 00:00:00","No",,"SPOT Data load"
"2025-08-03 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","31",30214.9247,0,30214.9247,"2025-08-10 00:00:00","No",,"SPOT Data load"
"2025-08-10 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","32",31279.5978,0,31279.5978,"2025-08-29 00:00:00","No",,"SPOT Data load"
"2025-08-17 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","33",31728.8037,0,31728.8037,"2025-08-29 00:00:00","No",,"SPOT Data load"
"2025-08-24 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","34",31717.9976,0,31717.9976,"2025-09-03 00:00:00","No",,"SPOT Data load"
"2025-08-31 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","35",31312.2756,0,31312.2756,"2025-09-01 00:00:00","No",,"SPOT Data load"
"2025-09-07 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","36",30773.4537,0,30773.4537,"2025-09-11 00:00:00","No",,"SPOT Data load"
"2025-09-14 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","37",28595.5048,0,28595.5048,"2025-09-18 00:00:00","No",,"SPOT Data load"
"2025-09-21 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","38",28051.1555,0,28051.1555,"2025-09-26 00:00:00","No",,"SPOT Data load"
"2025-09-28 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","39",27618.2326,0,27618.2326,"2025-10-11 00:00:00","No",,"SPOT Data load"
"2025-10-05 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","40",31061.7269,0,31061.7269,"2025-10-10 00:00:00","No",,"SPOT Data load"
"2025-10-12 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","41",34203.5436,0,34203.5436,"2025-10-15 00:00:00","No",,"SPOT Data load"
"2025-10-19 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","42",29697.3099,0,29697.3099,"2025-10-23 00:00:00","No",,"SPOT Data load"
"2025-10-26 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","43",27414.2212,0,27414.2212,"2025-12-16 00:00:00","No",,"SPOT Data load"
"2025-11-02 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","44",28884.0548,0,28884.0548,"2025-11-27 00:00:00","No",,"SPOT Data load"
"2025-11-09 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","45",27152.4998,0,27152.4998,"2025-12-06 00:00:00","No",,"SPOT Data load"
"2025-11-16 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","46",27483.6331,0,27483.6331,"2025-11-23 00:00:00","No",,"SPOT Data load"
"2025-11-23 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","47",29165.9159,0,29165.9159,"2025-11-27 00:00:00","No",,"SPOT Data load"
"2025-11-30 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","48",34153.6103,0,34153.6103,"2025-12-09 00:00:00","No",,"SPOT Data load"
"2025-12-07 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","49",37833.4828,0,37833.4828,"2025-12-10 00:00:00","No",,"SPOT Data load"
"2025-12-14 00:00:00","NA","US","New Jersey","GCF","NACF","Traditional Non Sortable","TEB3","2025","50",36615.0551,0,36615.0551,"2025-12-16 00:00:00","No",,"SPOT Data load"
